  iteration  buy     world           em              emu sc
-----------  ------  --------------  --------------  --------------
          1  world   1000 (100.00%)  - (0.00%)       - (0.00%)
          2  world   2000 (100.00%)  - (0.00%)       - (0.00%)
          3  em      2000 (66.67%)   1000 (33.33%)   - (0.00%)
          4  world   3000 (75.00%)   1000 (25.00%)   - (0.00%)
          5  world   4000 (80.00%)   1000 (20.00%)   - (0.00%)
          6  emu sc  4000 (66.67%)   1000 (16.67%)   1000 (16.67%)
          7  world   5000 (71.43%)   1000 (14.29%)   1000 (14.29%)
          8  em      5000 (62.50%)   2000 (25.00%)   1000 (12.50%)
          9  world   6000 (66.67%)   2000 (22.22%)   1000 (11.11%)
         10  world   7000 (70.00%)   2000 (20.00%)   1000 (10.00%)
         11  world   8000 (72.73%)   2000 (18.18%)   1000 (9.09%)
         12  world   9000 (75.00%)   2000 (16.67%)   1000 (8.33%)
         13  em      9000 (69.23%)   3000 (23.08%)   1000 (7.69%)
         14  world   10000 (71.43%)  3000 (21.43%)   1000 (7.14%)
         15  emu sc  10000 (66.67%)  3000 (20.00%)   2000 (13.33%)
         16  world   11000 (68.75%)  3000 (18.75%)   2000 (12.50%)
         17  world   12000 (70.59%)  3000 (17.65%)   2000 (11.76%)
         18  em      12000 (66.67%)  4000 (22.22%)   2000 (11.11%)
         19  world   13000 (68.42%)  4000 (21.05%)   2000 (10.53%)
         20  world   14000 (70.00%)  4000 (20.00%)   2000 (10.00%)
         21  world   15000 (71.43%)  4000 (19.05%)   2000 (9.52%)
         22  world   16000 (72.73%)  4000 (18.18%)   2000 (9.09%)
         23  em      16000 (69.57%)  5000 (21.74%)   2000 (8.70%)
         24  world   17000 (70.83%)  5000 (20.83%)   2000 (8.33%)
         25  emu sc  17000 (68.00%)  5000 (20.00%)   3000 (12.00%)
         26  world   18000 (69.23%)  5000 (19.23%)   3000 (11.54%)
         27  world   19000 (70.37%)  5000 (18.52%)   3000 (11.11%)
         28  em      19000 (67.86%)  6000 (21.43%)   3000 (10.71%)
         29  world   20000 (68.97%)  6000 (20.69%)   3000 (10.34%)
         30  world   21000 (70.00%)  6000 (20.00%)   3000 (10.00%)
         31  world   22000 (70.97%)  6000 (19.35%)   3000 (9.68%)
         32  world   23000 (71.88%)  6000 (18.75%)   3000 (9.38%)
         33  em      23000 (69.70%)  7000 (21.21%)   3000 (9.09%)
         34  world   24000 (70.59%)  7000 (20.59%)   3000 (8.82%)
         35  emu sc  24000 (68.57%)  7000 (20.00%)   4000 (11.43%)
         36  world   25000 (69.44%)  7000 (19.44%)   4000 (11.11%)
         37  world   26000 (70.27%)  7000 (18.92%)   4000 (10.81%)
         38  em      26000 (68.42%)  8000 (21.05%)   4000 (10.53%)
         39  world   27000 (69.23%)  8000 (20.51%)   4000 (10.26%)
         40  world   28000 (70.00%)  8000 (20.00%)   4000 (10.00%)
         41  world   29000 (70.73%)  8000 (19.51%)   4000 (9.76%)
         42  world   30000 (71.43%)  8000 (19.05%)   4000 (9.52%)
         43  em      30000 (69.77%)  9000 (20.93%)   4000 (9.30%)
